companies,commentsCount,hitsCount,likes
okko,22.517814726840854,4821.990498812352,18.320665083135392
onesoil,4.0,492.0,0.0
onetwotrip,43.25,19283.0,28.75
oohdesk,9.2,1624.2,8.0
oskelly,21.8,6169.2,9.6
osome,37.486486486486484,13192.027027027027,35.945945945945944
out.agency,0.0,1050.5,0.0
outlines tech,3.2,369.6,6.0
ovision,0.0,227.5,1.0
ozon,19.69972733469666,4609.074982958418,67.89331970006816
pichesky,10.923076923076923,3742.923076923077,14.615384615384615
pixonic,16.5,16580.716666666667,21.533333333333335
platforma,6.857142857142857,3012.542857142857,6.314285714285714
players,2.824074074074074,1587.0,92.61111111111111
playgendary,4.3125,5305.0625,12.625
positive technologies,5.521739130434782,1576.2608695652175,5.586956521739131
prnews,1.1666666666666667,429.42857142857144,1.9523809523809523
productstar,0.0,191.0,0.5
prospectacy,0.0,447.0,0.0
prosto media,2.0,300.0,3.0
pyrus,16.53409090909091,5820.261363636364,89.85227272727273
qiwi,29.75132275132275,7695.534391534392,24.19047619047619
qlik,4.341463414634147,1752.560975609756,6.2560975609756095
rambler&co,14.308270676691729,4298.015037593985,13.691729323308271
red collar,8.306122448979592,3694.408163265306,21.46938775510204
reima,3.0526315789473686,1032.5263157894738,18.263157894736842
repina branding,19.428571428571427,1901.0,59.714285714285715
revolut,16.3444976076555,5215.478468899521,29.33732057416268
rita,2.8275862068965516,953.2758620689655,2.5517241379310347
robobill,5.0,1128.0,3.0
ruvds,24.714285714285715,4853.238095238095,23.476190476190474
saler,25.0,3597.0,19.0
savetime,64.5,28885.0,66.0
selectel,7.103448275862069,2681.8081896551726,13.91594827586207
semrush,7.6,2593.8434782608697,44.93913043478261
seoprofy,8.0,8872.5,22.0
seowork,11.735294117647058,1731.8823529411766,22.441176470588236
setters,8.669421487603305,4346.925619834711,17.56198347107438
shopstat,30.77777777777778,22231.0,43.44444444444444
sigur,8.571428571428571,3390.8571428571427,12.571428571428571
simple,12.026058631921824,4427.2442996742675,24.824104234527688
skillbox,10.293296089385475,3350.1871508379886,39.71368715083799
skillfactory,8.048780487804878,3193.3414634146343,19.4390243902439
skyeng,19.6262341325811,6659.67418899859,29.524682651622
