doc_id,companies
0000007400,одноклассники
0000007418,одноклассники
0000007447,яндекс
0000007458,spotify
0000007463,тинькофф
0000007485,мтс
0000007512,яндекс
0000007515,ozon
0000007532,luxoft
0000007566,spotify
0000007575,яндекс
0000007577,яндекс
0000007638,skyeng
0000007653,мтс
0000007687,ozon
0000007708,мтс
0000007716,одноклассники
0000007720,мтс
0000007757,тинькофф;markswebb
0000007782,mail
0000007820,мтс
0000007841,mail
0000007843,рбк
0000007848,yota
0000007861,ozon
0000007868,mail
0000007870,рбк
0000007889,одноклассники
0000007903,рвк
0000007919,яндекс
0000007941,рвк
0000007945,автоваз
0000007949,calltouch
0000007953,gett
0000007964,spotify
0000008014,мтс
0000008024,mail
0000008032,spotify
0000008061,яндекс
0000008069,мтс
0000008078,calltouch
0000008110,spotify
0000008122,тинькофф
0000008128,spotify
0000008137,одноклассники
0000008221,ozon
0000008222,yota
0000008226,мтс
0000008242,тинькофф
0000008248,yota
0000008256,spotify
0000008259,мтс
0000008260,мтс
0000008265,тинькофф
0000008276,spotify
0000008284,мтс
0000008322,мтс
0000008337,рвк
0000008363,тинькофф
0000008365,яндекс
0000008384,мтс
0000008386,мтс
0000008421,мтс
0000008434,тинькофф
0000008448,yota
0000008449,одноклассники
0000008461,yota
0000008467,мтс
0000008480,gett
0000008481,gett
0000008490,вконтакте
0000008502,яндекс
0000008525,тинькофф
0000008537,skyeng
0000008539,gett
0000008541,яндекс
0000008542,тинькофф
0000008556,gett
0000008562,яндекс
0000008580,yota
0000008581,одноклассники
0000008602,тинькофф
0000008610,spotify
0000008620,рбк
0000008632,яндекс
0000008641,яндекс
0000008652,мтс
0000008654,spotify
0000008664,spotify
0000008670,spotify
0000008681,тинькофф
0000008687,одноклассники
0000008760,тинькофф
0000008770,mail;мэйл
0000008791,ozon
0000008794,тинькофф
0000008829,мтс
0000008833,яндекс
0000008851,рбк
0000008855,мтс
0000008892,мтс
0000008927,ozon
0000008957,gett
0000008961,мтс
0000008962,яндекс
0000008963,yota
0000008969,мтс
0000008985,одноклассники
0000009000,одноклассники
0000009009,рбк
0000009010,мтс
0000009048,gett
0000009077,мтс
0000009081,тинькофф
0000009096,yota
0000009098,тинькофф
0000009150,gett
0000009155,мтс
0000009175,spotify
0000009201,мтс
0000009212,мтс
0000009255,вконтакте
0000009261,одноклассники
0000009329,тинькофф;markswebb
0000009350,skyeng
0000009371,мтс
0000009372,тинькофф
0000009383,яндекс
0000009388,тинькофф
0000009398,yota
0000009416,mail
0000009426,мтс
0000009442,одноклассники
0000009461,тинькофф
0000009463,мтс
0000009474,skyeng
0000009488,gett
0000009489,мтс
0000009497,яндекс
0000009528,яндекс
0000009529,мтс
0000009536,рбк
0000009537,манифест
0000009540,yota
0000009541,авито
0000009555,microsoft
0000009569,яндекс
0000009585,мтс
0000009600,тнт
0000009613,gett
0000009638,gett
0000009651,яндекс
0000009657,тинькофф
0000009667,yota
0000009681,мтс
0000009716,рбк
0000009736,рбк
0000009748,bright
0000009752,одноклассники
0000009779,spotify
0000009785,gett
0000009798,мтс
0000009801,мтс
0000009828,мтс
0000009841,одноклассники
0000009892,мтс
0000009893,мтс
0000009919,coub
0000009934,metro
0000009937,тинькофф
0000009951,мтс
0000009957,acer
0000009983,мтс
0000009990,яндекс
0000010005,мтс
0000010017,мтс
0000010032,yota
0000010036,мтс
0000010037,selectel
0000010046,мтс
0000010049,тинькофф
0000010060,мтс
0000010073,мтс
0000010082,gett
0000010090,мтс
0000010118,одноклассники
0000010126,мтс
0000010136,тинькофф
0000010156,мтс
0000010169,авито
0000010173,яндекс
0000010219,мтс
0000010236,yota
0000010266,яндекс
0000010311,одноклассники
0000010339,яндекс
0000010376,мтс
0000010379,mail;mail.ru
0000010444,gett
0000010456,mail
0000010479,мтс
0000010486,делимобиль
0000010490,тинькофф
0000010554,мтс
0000010562,yota
0000010592,мойсклад
0000010611,rambler&co
0000010639,mail;mail.ru
0000010641,тинькофф
0000010650,greensight
0000010706,qiwi;мтс
0000010714,рбк
